## 20162706
## Database of cancer genes. Composed by:
## 1. Cancer driver genes from cosmic cancer gene census database (27/06/2016, COSMIC v77)
## access_info: http://cancer.sanger.ac.uk/census/
## 2. Cancer predisposition genes (CPG) from Rahman N. (doi:10.1038/nature12981)
## access_info: Supplementary table 1
## <GENE_SYMBOL>	<ROLE>	<COSMIC>	<CPG>	
C15orf65	unkn	1	0
PDCD1LG2	unkn	1	0
LMNA	unkn	1	0
PBX1	unkn	1	0
RAD51C	TSG	0	1
ABI1	TSG	1	0
TLX1	unkn	1	0
NOTCH2	oncogene/TSG	1	0
ACKR3	oncogene	1	0
VTI1A	unkn	1	0
PICALM	unkn	1	0
CANT1	unkn	1	0
KAT6B	unkn	1	0
KAT6A	unkn	1	0
PTCH1	TSG	1	1
CRLF2	unkn	1	0
SND1	unkn	1	0
JUN	unkn	1	0
FBXO11	unkn	1	0
CHN1	unkn	1	0
RANBP17	unkn	1	0
ZNF384	unkn	1	0
MAP3K1	unkn	1	0
CACNA1D	unkn	1	0
CBFA2T3	unkn	1	0
FAM46C	unkn	1	0
NUP214	unkn	1	0
NF2	TSG	1	1
BRCA1	TSG	1	1
FLCN	TSG	1	1
FAM131B	unkn	1	0
BRCA2	TSG	1	1
H3F3A	unkn	1	0
ERBB4	oncogene/TSG	1	0
TRIM24	unkn	1	0
IDH2	oncogene	1	0
IDH1	oncogene	1	0
TRIM27	unkn	1	0
CREB1	unkn	1	0
PER1	unkn	1	0
RPL10	unkn	1	0
BRD4	unkn	1	0
MDM2	oncogene	1	0
SETD2	TSG	1	0
MDM4	oncogene	1	0
FGFR3	unkn	1	0
BRD3	unkn	1	0
RSPO3	unkn	1	0
TCL6	unkn	1	0
ATIC	unkn	1	0
NIN	unkn	1	0
PTPN13	TSG	1	0
KIF5B	unkn	1	0
OMD	unkn	1	0
PPFIBP1	unkn	1	0
TCF7L2	unkn	1	0
KIT	oncogene	1	1
FOXA1	unkn	1	0
RUNX1	oncogene	1	1
XPC	TSG	1	1
MYO5A	unkn	1	0
ZNF278	unkn	1	0
LZTR1	TSG	1	0
TTL	unkn	1	0
RNF213	unkn	1	0
C12orf9	unkn	1	0
DOCK8	TSG	0	1
GBA	TSG	0	1
HRAS	oncogene	1	1
HIF1A	oncogene	1	0
CRTC1	unkn	1	0
TNFRSF17	unkn	1	0
CRTC3	unkn	1	0
SEPT9	unkn	1	0
SEPT5	unkn	1	0
TSHR	unkn	1	0
SEPT6	unkn	1	0
DAXX	unkn	1	0
SDHAF2	TSG	1	1
